EXTN_LEGACY_ITEM_ID,EXTN_LEGACY_SELLER_ID,NODE,MIN_DAYS_TO_SHIP,MAX_DAYS_TO_SHIP
46925048,0,736465,0,0
15078760,0,2957910,0,0
44779633,0,736465,0,0
24774350,0,729981,0,0
29679079,0,446620,0,0
39823638,0,414560,0,0
16352259,0,2957911,0,0
11973354,0,736465,0,0
2415675,0,736465,0,0
40795314,0,736465,0,0
38468207,0,2957906,0,0
25669106,0,736465,0,0
44878983,0,736465,0,0
15064118,0,2957909,0,0
30035897,0,736465,0,0
13036855,0,736465,0,0
34769803,0,8302,0,0
826857,0,446620,0,0
35433889,0,6559,0,0
24831694,0,736465,0,0
3866746,0,736434,0,0
11037629,0,2957917,0,0
456436,0,736465,0,0
25458662,0,736465,0,0
24652000,0,736465,0,0
21278440,0,736465,0,0
29496838,0,446620,0,0
34546124,0,446620,0,0
454135,0,736465,0,0
7981104,0,736465,0,0
10804694,0,4401,0,0
43908491,0,736465,0,0
25669394,0,736434,0,0
8217732,0,446620,0,0
38311639,0,736434,0,0
26923843,0,395841,0,0
19869520,0,729981,0,0
34480321,0,4364,0,0
26564457,0,428235,0,0
15116976,0,736434,0,0
29595555,0,446620,0,0
20567862,0,736434,0,0
33606424,0,172580,0,0
25010450,0,736434,0,0
29114122,0,446620,0,0
15118391,0,2957914,0,0
10291918,0,6559,0,0
15754184,0,8302,0,0
17374181,0,736465,0,0
23863749,0,736465,0,0
11076375,0,736465,0,0
19472652,0,736465,0,0
15158473,0,736465,0,0
46130416,0,736465,0,0
10850637,0,736465,0,0
23727306,0,736465,0,0
3280110,0,736465,0,0
34681202,0,736434,0,0
16540006,0,4401,0,0
13354826,0,736465,0,0
13272484,0,736465,0,0
42104314,0,4364,0,0
1876391,0,736465,0,0
21756344,0,736434,0,0
21852358,0,736465,0,0
38812894,0,736434,0,0
28667159,0,2957905,0,0
2673662,0,736465,0,0
42367317,0,736465,0,0
39121830,0,736465,0,0
23963793,0,736434,0,0
10819628,0,736465,0,0
30170058,0,736434,0,0
23781958,0,736434,0,0
26913710,0,4900,0,0
20528697,0,736434,0,0
10308137,0,4364,0,0
21972140,0,736465,0,0
16456705,0,2957917,0,0
21423964,0,2957911,0,0
39362660,0,4900,0,0
29162744,0,172580,0,0
8069095,0,736465,0,0
20562160,0,736465,0,0
27198348,0,736465,0,0
2405773,0,736465,0,0
43818264,0,44103005,0,0
17023466,0,736465,0,0
380609,0,736434,0,0
14093920,0,736465,0,0
5495416,0,736465,0,0
2304486,0,446620,0,0
23381773,0,446620,0,0
16503390,0,446620,0,0
21753681,0,736465,0,0
21672521,0,1751201,0,0
13056582,0,2957902,0,0
17797870,0,736434,0,0
14917754,0,2957905,0,0
23610081,0,44103004,0,0
23553942,0,446620,0,0
38664753,0,395841,0,0
40498151,0,4401,0,0
9190577,0,736434,0,0
11023241,0,736465,0,0
21123937,0,736434,0,0
45848444,0,4364,0,0
10256341,0,446620,0,0
14935250,0,2957916,0,0
32977891,0,736434,0,0
15610998,0,8302,0,0
21188865,0,2957906,0,0
390254,0,736465,0,0
19484446,0,736465,0,0
26670013,0,736465,0,0
